------ Begin Next Fly'm ------


"Begin Fly'm (Tue May 04 16:05:02 2021)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 10000"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","NO ","NO ","NO ","NO ","YES","YES","NO "


"Ion N","Mass","X","Y","Z","Azm","Elv","Vx","Vy","Vz","KE"
165,28,162.393,139.391,150,89.8957,0.00683466,0.0480148,0.00314611,-26.3742,100.931
166,28,162.982,144.13,150,89.8238,-0.638245,0.0810856,-0.293718,-26.3661,100.883
167,28,163.375,135.081,150,89.7367,0.877308,0.121143,0.403755,-26.3664,100.897
168,28,164.615,135.733,150,90.4541,1.07434,-0.208952,0.494402,-26.363,100.888
169,28,160.521,140.001,150,89.7326,-0.0420467,0.123085,-0.019353,-26.3714,100.912
170,28,168.088,141.874,150,90.5454,-0.422798,-0.250942,-0.194543,-26.3621,100.853
171,28,165.08,144.052,150,90.3046,-0.847973,-0.140183,-0.390247,-26.3658,100.892
172,28,167.358,142.41,150,90.3897,-0.406853,-0.179319,-0.187203,-26.3622,100.849
173,28,160.232,141.885,150,89.5946,-0.323284,0.186554,-0.148756,-26.3632,100.855
174,28,164.172,144.246,150,90.0265,-0.572765,-0.0121953,-0.263638,-26.3718,100.923
175,28,169.124,139.553,150,90.6201,0.0510876,-0.285394,0.0235147,-26.3707,100.916
176,28,162.069,136.481,150,89.3429,0.857921,0.302332,0.394795,-26.3624,100.877
177,28,159.851,138.057,150,89.4911,0.282469,0.234179,0.129975,-26.3629,100.855
178,28,163.905,144.039,150,89.9877,-0.506967,0.00564399,-0.233348,-26.3715,100.919
179,28,159.012,139.395,150,89.0922,0.242468,0.417828,0.111602,-26.3683,100.913
180,28,168.433,138.313,150,90.64,0.327736,-0.294515,0.150815,-26.364,100.869
181,28,168.204,139.547,150,91.1476,0.460661,-0.528131,0.212014,-26.3639,100.9
182,28,158.68,140.028,150,89.238,-0.070867,0.350754,-0.0326225,-26.3729,100.939
183,28,166.161,136.327,150,90.5768,0.757241,-0.265407,0.348452,-26.3623,100.868
184,28,167.359,142.516,150,90.5707,-0.61894,-0.262599,-0.284801,-26.3619,100.859
185,28,167.209,142.233,150,90.7143,-0.767073,-0.328649,-0.35298,-26.3619,100.871
186,28,163.705,134.799,150,89.9016,0.7903,0.0452715,0.36376,-26.3705,100.922
187,28,161.356,142.267,150,89.247,-0.927141,0.346452,-0.42663,-26.3604,100.87
188,28,168.9,140.441,150,90.5418,-0.13312,-0.249337,-0.0612662,-26.3681,100.894
189,28,167.182,142.684,150,90.4149,-0.483972,-0.190907,-0.222683,-26.3613,100.845
190,28,160.73,137.938,150,89.6979,0.188753,0.139019,0.0868549,-26.3643,100.86
191,28,163.222,135.161,150,89.8606,0.561281,0.0641469,0.258316,-26.368,100.894
192,28,167.46,138.575,150,90.296,0.112277,-0.136221,0.0516689,-26.3665,100.876
